lot_id,symbol,entry_ts,exit_ts,entry_price,exit_price,qty_closed,hold_days,pnl_usd,ret_pct
132691130560768,MSFT,2024-12-18,2024-12-19,451.45539599999995,441.48751400000003,-111.0,0,-1106.4349019999909,-2.207943927200262
132691122196416,GOOG,2024-12-18,2024-12-19,196.889049,193.222016,-254.0,0,-931.4263820000009,-1.8624870294335127
132691342964352,GOOGL,2024-12-18,2024-12-19,195.27856599999998,191.5675125,-256.0,0,-950.0296959999978,-1.9003895696366402
132691143336640,AMZN,2024-12-18,2024-12-19,230.839231,224.842527,-217.0,0,-1301.284768000005,-2.597783736335535
132691130795840,AVGO,2024-12-18,2024-12-19,239.481823,227.84162700000002,-209.0,0,-2432.8009639999946,-4.860575994529648
132691070383488,TSLA,2024-12-18,2024-12-19,466.6349485,451.744436,-107.0,0,-1593.2848374999999,-3.191040994221628
132691080604160,LLY,2024-12-18,2024-12-19,775.2325,764.8704700000001,-1.0,0,-10.36202999999989,-1.3366351384906938
132678424718976,META,2024-12-18,2024-12-20,621.1863,590.402826,-81.0,0,-2493.4613939999963,-4.9555944810759645
132691080604160,LLY,2024-12-18,2024-12-20,775.2325,811.1065950000001,-64.0,0,2295.942080000008,4.627527225703276
132691136504640,JPM,2024-12-19,2024-12-20,232.339681,231.850424,-211.0,0,-103.23322700000193,-0.21057832131567977
132699592266624,V,2024-12-19,2024-12-20,311.923549,313.475929,-158.0,0,245.2760400000044,0.4976796413662443
132691129875968,NFLX,2024-12-19,2024-12-20,908.4524539999999,892.942037,-54.0,0,-837.5625179999918,-1.7073449393753104
132691129871872,JNJ,2024-12-19,2024-12-20,144.18324199999998,143.00708500000002,-341.0,0,-401.06953699998667,-0.8157376569462582
132695428367552,PLTR,2024-12-19,2024-12-20,74.01219699999999,72.61820800000001,-664.0,0,-925.6086959999843,-1.8834584791476705
132699600673600,MSFT,2024-12-20,2024-12-23,433.239933,436.60897800000004,-115.0,0,387.44017500000325,0.7776395349041065
132691128772224,AAPL,2024-12-20,2024-12-23,248.114412,254.69356900000002,-201.0,0,1322.4105570000077,2.6516625725070853
